nct,name,mechanism,phase,status,fit_rating,evidence_score,evidence_label,evidence_caution,enrolment_window,biomarker_needed,tissue_key,tissue_requirement,postop_timing,enrolment_target,sponsor,us_sites,timing,why_this_fit,key_inclusion,key_exclusion,primary_endpoint,secondary_endpoints,outcomes_so_far,evidence_note,source_links,flags,dates
NCT06805305,DOC1021 (dubodencel) dendritic-cell vaccine + standard care,Dendritic-cell vaccine,Phase 2,Recruiting,High,3,Phase 1 survival signal,false,"After surgery, before chemoradiation",IDH-wildtype required; MGMT / EGFR not restricted,fresh-viable,Fresh (viable) tumour specimen required at surgery — not just a paraffin block. Confirm what was preserved from the 1.2 cm resection.,"No explicit day-count stated; the general rule for this window is to enrol before chemoradiation starts (typically ~4–6 weeks post-op). At 2 weeks post-op, this window is open now but time-limited.",180,Diakonos Oncology,"CA (City of Hope, HOAG, UCSF), FL (Baptist MD Anderson Jacksonville), MA (Dana-Farber), NJ (Cooper, Rutgers, Atlantic), NY (Lenox Hill), NC (UNC, Wake Forest), OH (Ohio State), PA (UPMC), TN (Vanderbilt), TX (UTHealth, Baylor, UT San Antonio)","Enrol after resection, before starting radiation/temozolomide (leukapheresis + tumour specimen needed).","Built for exactly this scenario — newly diagnosed, IDH-wildtype, near-complete resection, no prior therapy. Randomised, many US sites. Needs a fresh tumour specimen from the resection: confirm tissue was banked.","Age ≥18; presumed newly diagnosed IDH-wildtype GBM | Gross-total / near-total resection (≥95% of enhancing tumour removed, ≤1 cm³ residual) — ≥70% subtotal also allowed | KPS ≥70 | No prior anti-cancer treatment for GBM | Hb ≥8, ANC ≥1500, platelets ≥75k","Infratentorial, recurrent, leptomeningeal or extracranial disease | Autoimmune disease needing immunosuppression within 2 years | DMARDs / TNF inhibitors / anti-CD20 / JAK inhibitors | Investigational drug within 30 days",Overall survival (5 years).,"1-, 2-, 3-year survival; adverse events (CTCAE v5); time to progression (RANO 2.0).","Phase 1 (n=16 newly diagnosed; 94% MGMT-unmethylated, a poor-prognosis group): 1-year overall survival 88% vs 53% in an age-matched control cohort (p&lt;0.002); 93% (14/15 evaluable) alive beyond 12 months; no serious vaccine-attributable adverse events. Supported progression to this randomised phase 2. (ASCO 2025)",Single-arm phase 1 (n=16 newly diagnosed): 1-year OS 88% vs 53% in age-matched controls (p&lt;0.002).,https://www.prnewswire.com/news-releases/diakonos-oncology-presents-promising-phase-i-results-of-dubodencel-doc1021-for-the-treatment-of-glioblastoma-at-the-asco-2025-annual-meeting-302469896.html ; https://clinicaltrials.gov/study/NCT06805305,Requires a fresh tumour specimen — verify what was preserved from the 1.2 cm resection.,Started Mar 2025 · primary completion Mar 2030
NCT05100641,AV-GBM-1 tumour-initiating-cell dendritic-cell vaccine,Dendritic-cell vaccine,Phase 3,Not yet recruiting,High,3,Phase 2 signal vs historical,false,"After surgery, before chemoradiation",IDH and MGMT status documented (not restricted); EGFR not applicable,fresh-viable,"Needs a viable tumour cell line established from fresh surgical tissue, not archival tissue.","Same before-chemoradiation window as DOC1021 (open now, closes once chemoradiation starts) — but this trial is currently Not yet recruiting, so timing also depends on when it opens.",672,AIVITA Biomedical,US sites not yet listed on the registry.,"Tumour harvested at initial surgery to establish a cell line; leukapheresis; randomise after recovery, before starting radiation/temozolomide.","Blinded, placebo-controlled phase 3 in exactly this population, with encouraging phase 2 data. Requires a viable tumour cell line grown from surgical tissue — confirm fresh tissue availability. Not yet open; watch for activation.","Newly diagnosed primary GBM, histologically confirmed | Age &gt;18; KPS ≥70 | Recovered from maximal safe resection with an established tumour cell line | Planning to start radiation + temozolomide",Prior astrocytoma / glial tumour | Autoimmune disease or immunodeficiency | Other invasive cancer within 5 years | GM-CSF allergy; cardiac disease needing active treatment,Overall survival from randomisation (2 years).,PFS and OS from first vaccine dose; PFS from randomisation; treatment-emergent adverse events.,"Phase 2 (n=57 who started vaccine): median PFS 10.4 months (vs ~6.9 historical), median OS 16.0 months; 12- and 15-month OS 76%; 2-year OS 27%. Main vaccine-related events were injection-site reactions and flu-like symptoms. (JECCR 2022; 3-yr follow-up 2025)",Phase 2 (n=57): median PFS 10.4 mo and median OS 16.0 mo vs ~6.9 / ~15 mo historical; 2-year OS 27%.,https://jeccr.biomedcentral.com/articles/10.1186/s13046-022-02552-6 ; https://www.tandfonline.com/doi/full/10.1080/21645515.2025.2556591 ; https://clinicaltrials.gov/study/NCT05100641,Not yet recruiting. | Needs a viable tumour cell line from surgery — verify fresh tissue was banked.,Listed start Jan 2024 (delayed) · primary completion Mar 2028
NCT03970447,GBM AGILE adaptive platform trial,Adaptive platform,Phase 2/3,Recruiting,Medium,,Varies by arm,false,"After surgery, before chemoradiation",IDH-wildtype grade 4 GBM; MGMT status guides which arm you can be assigned to,archival-ffpe,No special tissue banking — the standard pathology block from any resection is enough; the assigned arm may add its own biomarker testing.,"Open now — must enrol before starting chemoradiation, the same general window as the other pre-chemoradiation vaccine trials.",2250,Global Coalition for Adaptive Research (GCAR),"~30+ US sites incl. UAB, UC San Diego, Cedars-Sinai, St Joseph (Orange, CA), U Colorado, Yale, Sylvester/Miami, MGH, Dana-Farber, Mount Sinai, Columbia, MSK, Cleveland Clinic, UPMC, MD Anderson, Huntsman, UVA.",Newly diagnosed: enrol before starting chemoradiation. Recurrent arms also open.,"The broadest single access route — one screening, randomisation to a novel agent plus a proper control, ~30+ US sites. But the arm you get is assigned, and may not be an immunotherapy or EGFR-targeted agent. Ask which arms are open at the nearby site.","Age ≥18; histologically confirmed grade 4 GBM, IDH-wildtype | MRI within 21 days; KPS ≥60 (newly diagnosed) / ≥70 (recurrent) | Tumour tissue available | No prior GBM therapy (newly diagnosed cohort)",Prior carmustine wafer or prior intracerebral agents | Extensive leptomeningeal disease | QTc &gt;470 ms | Second malignancy within 2 years | Early progression &lt;3 months from radiation (recurrent),Overall survival from randomisation.,Progression-free survival; tumour response; duration of response.,"The platform is designed to read arms out efficiently rather than to have one headline result. Some arms have been negative (e.g. regorafenib, JCO 2025). Value here is faster access to novel agents with randomisation against a real control.",A platform: each arm has its own evidence. Some arms have read out negative (e.g. regorafenib). The design itself is validated as an efficient way to test agents against a shared control.,https://ascopubs.org/doi/10.1200/JCO.2025.43.16_suppl.TPS2100 ; https://ascopubs.org/doi/10.1200/JCO-25-01137 ; https://clinicaltrials.gov/study/NCT03970447,Mechanism is assigned by randomisation — confirm an immunotherapy / targeted arm is enrolling.,Started Jul 2019 · primary completion Jun 2028
NCT07422896,Bvax — autologous B-cell vaccination + chemoradiation,Other therapeutic vaccine,Phase 1,Not yet recruiting,Medium,1,First-in-human — no outcomes yet,false,"After surgery, before chemoradiation",Histologically confirmed GBM; IDH / MGMT / EGFR not specified,fresh-frozen,Needs ≥ 1.5 g of fresh-frozen tumour tissue plus a paraffin block from the resection.,"Appears to allow enrolment even after starting first-line chemoradiation, so this window is less tightly time-limited than the others — but not yet recruiting (opens ~Sep 2026).",25,Northwestern University (Catalina Lee-Chang; PI of record Roger Stupp),"IL — Northwestern University, Chicago.",Opens ~Sep 2026. Needs ≥1.5 g fresh-frozen tumour tissue + a paraffin block; no prior therapy except surgery ± first-line chemoradiation.,"Mechanistically novel and open to newly diagnosed disease with standard chemoradiation. Two practical limits: a single site, and a requirement for ≥1.5 g of fresh-frozen tumour tissue — unlikely to be available retrospectively after a completed 1.2 cm resection unless it was specifically banked fresh-frozen.",Histologically confirmed GBM with FFPE block and ≥1.5 g fresh-frozen tissue | Age ≥18; ECOG ≤2 | Adequate organ / marrow function without transfusion support,"Unrecovered surgical / chemoradiation toxicity &gt; grade 2 | Concurrent investigational agents | Allergy to DMSO, CryoStor CS10, or ethylene-vinyl-acetate | Uncontrolled infection or cardiac disease","Incidence of adverse events (CTCAE v6), up to 90 days after first dose.",Progression-free and overall survival rate (up to 5 years).,None yet — first-in-human.,No results posted. Safety-and-feasibility phase 1.,https://clinicaltrials.gov/study/NCT07422896,Not yet recruiting; single site. | Needs 1.5 g fresh-frozen tumour tissue — confirm before counting on this.,Estimated start Sep 2026 · primary completion Sep 2028
NCT07762716,BreakVax personalised vaccine + dual checkpoint + temozolomide,Other therapeutic vaccine,Phase 1/2,Not yet recruiting,Low,1,First-in-human — no outcomes yet,false,Procedure-based / flexible,Histologically confirmed GBM; IDH / MGMT / EGFR not specified; excludes dMMR/MSI-H and POLE-mutant,fresh-frozen,"Needs ~200 mg of tumour tissue from the original resection, AND a new on-treatment biopsy during the trial.",Not tied to a specific post-op week; gated on the trial opening (~Sep 2026) and on-treatment biopsy logistics rather than a surgery-clock deadline.,10,BreakBio Corp (with Miami Cancer Institute),FL — Miami (Herbert Wertheim Cancer Institute / Miami Cancer Institute).,Opens ~Sep 2026. Needs ~200 mg tumour tissue; on-treatment biopsy required.,"Very small (n=10), single site, not yet open, and unusually steroid-restrictive (no systemic steroids within 6 weeks, cannot require steroids). Checkpoint-heavy regimen despite checkpoint monotherapy having failed in newly diagnosed GBM. Worth tracking as it opens.",Age 18–71; histologically confirmed GBM with 200 mg tissue submitted | KPS ≥80; life expectancy &gt;6 months | No prior anti-PD-1 / PD-L1; no immunosuppression within 12 months,Any systemic or topical steroids within 6 weeks; cannot require steroid pre-medication | Autoimmune disease (limited exceptions) | Myocarditis / CHF / LVEF &lt;50%; interstitial lung disease | Uncontrolled hypertension; coumarin anticoagulants; strong CYP3A4 modulators | Prior invasive cancer within 2 years; dMMR/MSI-H; POLE mutation,Overall survival (12 months); BreakVax manufacturing success; adverse events.,Change in tumour-infiltrating T cells; immune-related ORR / PFS / duration of response (iRANO / RANO); pseudoprogression rate.,None yet.,No results posted. n=10 phase 1/2.,https://clinicaltrials.gov/study/NCT07762716,Not yet recruiting; single site; n=10. | Strict steroid exclusion — hard to meet if any steroid is needed for oedema.,Estimated start Sep 2026 · primary completion Sep 2030
NCT06816927,GIANT — perioperative nivolumab ± relatlimab,Immune checkpoint inhibitor,Phase 2,Recruiting,Low,1,No trial data yet,false,Before your surgery,Newly diagnosed IDH-wildtype; MGMT status determined (guides temozolomide); no EGFR requirement,surgical-placement,"Requires an upcoming, not-yet-completed tumour resection — dosed before surgery. Not applicable after a completed resection unless disease recurs.",Not applicable — requires a resection that has not happened yet. The resection 2 weeks ago already closed this door unless disease recurs.,92,Duke University (Mustafa Khasraw),"NC — Duke; NY — Memorial Sloan Kettering. (Also Peter MacCallum, Australia.)",Requires an upcoming resection — enrol before the definitive tumour surgery.,"The design needs a planned biopsy → drug → definitive resection. This patient's 1.2 cm lesion has already had a gross-total resection, so there is likely no tumour left to enrol against. Relevant only if the MRI shows residual/measurable disease, or at recurrence.","Newly diagnosed IDH-wildtype GBM, deemed resectable (gross-total resection feasible) | Age ≥18; ECOG 0–1; life expectancy ≥12 months | Steroids ≤2 mg/day dexamethasone-equivalent | No prior immunosuppressive therapy or active autoimmune disease","Gross-total resection not feasible; cerebellar / brainstem / deep basal-ganglia tumour | Urgent resection needed (mass effect, hydrocephalus) | CNS bleed or stroke within 6 months | Active autoimmune disease; myocarditis history; SARS-CoV-2 within 4 weeks",Safety-lead-in toxicity; feasibility (biopsy → neoadjuvant → surgery); change in tumour-infiltrating lymphocytes from biopsy to resection.,Overall and progression-free survival; RANO response; perioperative morbidity; pharmacokinetics.,"No GIANT data yet. Context: checkpoint monotherapy was negative in newly diagnosed GBM (CheckMate-498: nivolumab + radiation median OS 13.4 vs 14.9 months for temozolomide + radiation; CheckMate-548: no benefit). Neoadjuvant anti-PD-1 produced immune activation and a survival signal in a small randomised recurrent-GBM study (Cloughesy, 2019). Dual PD-1/LAG-3 blockade and the perioperative schedule are the new elements. (review)","GIANT has not reported. Checkpoint-inhibitor monotherapy was negative in newly diagnosed GBM (CheckMate-498, CheckMate-548); neoadjuvant anti-PD-1 gave an immune and survival signal in a small recurrent-GBM randomised study. Dual PD-1/LAG-3 + the perioperative schedule are the untested elements.",https://pmc.ncbi.nlm.nih.gov/articles/PMC11674442/ ; https://clinicaltrials.gov/study/NCT06816927,Needs tumour still in place for a planned resection — not applicable after a completed gross-total resection unless disease recurs.,Started Nov 2025 · primary completion Jun 2029
NCT05083754,Carmustine wafer + retifanlimab (anti-PD-1) + radiation ± temozolomide,Immune checkpoint inhibitor,Phase 1,Recruiting,Low,1,No outcomes yet,false,Before your surgery,Newly diagnosed grade 4 GBM / gliosarcoma; MGMT / IDH / EGFR not specified,surgical-placement,Wafers are placed directly in the resection cavity at surgery — requires a not-yet-completed resection.,Not applicable — wafers had to be placed at the original surgery.,50,Johns Hopkins (Sidney Kimmel; with Incyte),"MD — Johns Hopkins, Baltimore.",Carmustine wafers placed at resection — must enrol before / at the tumour surgery; post-op imaging within 72 hours.,"Entry requires carmustine wafers to be placed at the tumour resection. That resection is already done here (without wafers), so this would need a future surgery. Listed for completeness.",Newly diagnosed grade 4 GBM / gliosarcoma with carmustine wafers placed at resection | No prior GBM treatment except surgery + wafer | Age ≥18; KPS ≥60; appropriate for concurrent temozolomide + radiation,Recurrent GBM | CNS haemorrhage &gt; grade 1 on baseline MRI | Prior anti-PD-1 / PD-L1 / CTLA-4 | Active autoimmune disease; live vaccine within 28 days; probiotic supplements,"Safety, feasibility, maximum tolerated dose (up to 2 years).",Progression-free survival; overall response rate; overall survival by MGMT status.,None yet.,No results posted. Randomised pilot; carmustine wafers + anti-PD-1.,https://clinicaltrials.gov/study/NCT05083754,Requires wafers placed at the resection — not compatible with a resection already completed without them.,Started Aug 2022 · primary completion Jan 2028
NCT04903795,BRiTE — EGFRvIII×CD3 bispecific T-cell engager,CAR-T & T-cell engagers,Phase 1,Recruiting,Medium,1,No outcomes yet,false,With or after chemoradiation,EGFRvIII mutation required; supratentorial grade 4 GBM,archival-ffpe,Off-the-shelf antibody infusion — no cell manufacturing; EGFRvIII status uses the existing archival block.,"Gated on radiation, not surgery directly — enrol ≥4 weeks after finishing radiation. Since radiation has not started yet, this trial is not reachable for roughly another 3–4 months from today.",18,Duke University (Mustafa Khasraw; with Adaptin Bio),"NC — Duke University, Durham.","After resection + standard radiation (± temozolomide by MGMT). MGMT-unmethylated: radiation alone, enrol ≥4 weeks after radiation. Enhancing disease ≤4 cm before resection.","A fit only if EGFRvIII-positive. Single site, small early-phase study. Antigen escape (loss of EGFRvIII under pressure) has limited previous EGFRvIII-directed therapies — the secreted-engager design is meant to address that.","Age ≥18; supratentorial grade 4 GBM with confirmed EGFRvIII | KPS ≥70; Hb ≥9, ANC ≥750, platelets ≥50k | Steroids &lt;2 mg/day dexamethasone within 7 days | Newly diagnosed: only surgery + standard radiation/temozolomide beforehand",QTc &gt;480 ms; impending herniation | Prior unrelated malignancy (few exceptions) | Active infection; HIV with CD4 &lt;350; uncontrolled hepatitis | NYHA 3–4 heart disease; autoimmune disease within 3 months | Newly diagnosed with biopsy only (no resection),Dose-limiting toxicity (28 days).,"Objective response rate (RANO 2.0, 8 weeks); pharmacokinetics.",No BRiTE efficacy data reported yet. Earlier EGFRvIII-directed approaches at Duke (an EGFRvIII bispecific and EGFRvIII CAR-T) showed antigen loss and limited durable benefit — the central challenge this design targets.,No BRiTE efficacy data reported. Earlier EGFRvIII-directed therapies at this centre were limited by antigen escape — the design this trial tests.,https://clinicaltrials.gov/study/NCT04903795,Requires EGFRvIII-positive. Single site; small phase 1.,Started Aug 2026 · primary completion Dec 2027
NCT07708961,"WSD0922-FU ± adjuvant temozolomide, randomised",EGFR-targeted small molecule / antibody,Phase 2,Recruiting,High,1,Early-phase; no randomised data,false,With or after chemoradiation,"Newly diagnosed GBM, IDH-wildtype, PATHOGENIC EGFR MUTATION (± amplification) by CLIA NGS — includes EGFRvIII and point mutations. EGFR amplification ALONE does not qualify. MGMT status must be known.",archival-ffpe,Standard archival tissue for EGFR mutation/EGFRvIII testing — no special banking needed.,Gated on radiation — register ≥2 weeks after radiation and ≥3 weeks after surgery. The 3-weeks-post-surgery part will be satisfied soon; the real gate is finishing radiation first.,60,Mayo Clinic,"MN — Mayo Clinic, Rochester (recruiting). AZ (Scottsdale) and FL (Jacksonville) sites pending.","After standard 60 Gy + concurrent temozolomide, before adjuvant temozolomide; register ≥2 weeks after radiation and ≥3 weeks after surgery.","A strong fit if the NGS report shows a pathogenic EGFR mutation or EGFRvIII. Important nuance for RTK II: many of these tumours are EGFR-amplified without a point mutation, and amplification-only tumours are explicitly excluded here — check the exact finding.","Newly diagnosed GBM, IDH-wildtype (WHO 2021) | Pathogenic EGFR mutation ± amplification by CLIA NGS (point mutations or EGFRvIII) | MGMT methylation testing done | ECOG 0–2; Hb &gt;9, ANC &gt;1.5k, platelets &gt;100k, CrCl ≥45","EGFR wild-type; amplification alone without a pathogenic mutation; variants of unknown significance | True progression outside the radiation field | Prior adjuvant temozolomide, EGFR inhibitor, chemotherapy, immunotherapy, or bevacizumab | Active keratitis; significant cardiac disease; other active malignancy within 3 years",Progression-free survival (up to 5 years).,Adverse events; overall survival; overall response rate.,WSD0922-FU is in early-phase testing as a CNS-penetrant EGFR inhibitor; no randomised efficacy data yet.,WSD0922-FU is in early testing as a CNS-penetrant EGFR inhibitor; no efficacy readout yet.,https://clinicaltrials.gov/study/NCT07708961,Requires a pathogenic EGFR mutation / EGFRvIII — EGFR amplification alone is excluded.,Started Aug 2026 · primary completion Aug 2036
NCT06934889,ABBV-637 or ABBV-155 + ERAS-801 (EGFR ADC + EGFR TKI),EGFR-targeted small molecule / antibody,Phase 1b,Recruiting,Medium,0,Class caution,true,With or after chemoradiation,"Grade 4 GBM / gliosarcoma, IDH-wildtype, EGFR GENE AMPLIFICATION required (CLIA assay)",archival-ffpe,Standard archival tissue for EGFR amplification testing — no special banking needed.,"Starts alongside chemoradiation, so it becomes reachable once radiation begins (typically ~4–6 weeks post-op) — not immediately actionable at 2 weeks post-op.",60,Memorial Sloan Kettering (Thomas Kaley),"NY (MSK Manhattan + Westchester + regional sites), NJ (MSK Basking Ridge / Monmouth / Bergen), CA (UCLA), FL (University of Miami), IN (Indiana University), VT (University of Vermont).",Newly-diagnosed cohorts C/D: drug given with radiation + temozolomide (standard timing).,"One of the few newly-diagnosed trials that enrols on EGFR amplification alone — the classic RTK II lesion — so potentially a High fit if the tumour is amplified. Caveats: early-phase (dose-finding, toxicity-focused), and the prior EGFR antibody-drug conjugate depatuxizumab-mafodotin failed to improve survival in this exact population.","Grade 4 GBM / gliosarcoma, IDH-wildtype | EGFR gene amplification by CLIA assay | Age ≥18; KPS ≥60; LVEF ≥50%, QTc &lt;450 ms | Paraffin tissue from the initial resection available",Prior EGFR-targeted therapy | Enzyme-inducing anti-epileptic drugs within 10 days | Significant cardiac disease / arrhythmia / pericardial disease within 6 months | Active hepatitis; strong CYP3A modulators; live vaccine within 2 weeks,Dose-limiting toxicity (1 year).,Overall survival; progression-free survival (6 months).,"No results yet (phase 1b). Cautionary precedent: the EGFR antibody-drug conjugate depatuxizumab-mafodotin did not improve overall survival in EGFR-amplified newly diagnosed GBM (INTELLANCE-1, randomised phase 3).",No results yet. The prior EGFR antibody-drug conjugate depatuxizumab-mafodotin did NOT improve overall survival in EGFR-amplified newly diagnosed GBM in the randomised phase 3 INTELLANCE-1.,https://academic.oup.com/neuro-oncology/article/25/2/339/6645128 ; https://clinicaltrials.gov/study/NCT06934889,"Requires EGFR amplification. | Early-phase, dose-finding — primary endpoint is toxicity, not efficacy.",Started Apr 2025 · primary completion Apr 2028
